Event	ID	Name			Wwise Object Path	Notes
	395712816	Play_SFX_Boss_Leaves			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Leaves	
	1015345869	Play_SFX_Boss_Charge_Impact			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Charge_Impact	
	1366164187	Play_SFX_Boss_Charge_LP			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Charge_LP	
	1599937242	Play_SFX_Boss_Dive			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Dive	
	1829071329	Stop_SFX_Boss_Charge_LP			\Default Work Unit\SFX_Boss\Stop_SFX_Boss_Charge_LP	
	1854063749	Play_SFX_Boss_Shockwave			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Shockwave	
	2808147880	Play_RC_Missile_Explode			\Default Work Unit\SFX_Boss\Play_RC_Missile_Explode	
	3658758792	Play_RC_Missile_Launch			\Default Work Unit\SFX_Boss\Play_RC_Missile_Launch	
	4035373962	Play_SFX_Boss_Erupt			\Default Work Unit\SFX_Boss\Play_SFX_Boss_Erupt	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15173100	SFX_Missile_Launch_01	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Missile_Launch_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Missile_Launch\SFX_Missile_Launch_01		192096
	77496107	SFX_Cauldron_Explode_02	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Cauldron_Explode_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Missile_Explode\SFX_Cauldron_Explode_02		169696
	135451103	SFX_Cabbage_Charge_Impact_01	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Cabbage_Charge_Impact_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\AM_Boss_Charge\RC_Boss_Charge_Impact\SFX_Cabbage_Charge_Impact_01		174626
	148488311	SFX_Boss_Leaves_03	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Boss_Leaves_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Boss_Leaves\SFX_Boss_Leaves_03		416096
	177371133	SFX_Cauldron_Explode_01	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Cauldron_Explode_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Missile_Explode\SFX_Cauldron_Explode_01		169696
	210312109	SFX_Boss_Leaves_01	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Boss_Leaves_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Boss_Leaves\SFX_Boss_Leaves_01		416096
	226225148	SFX_Boss_Erupt_03	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Boss_Erupt_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Boss_Erupt\SFX_Boss_Erupt_03		96096
	229212703	SFX_Cauldron_Explode_04	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Cauldron_Explode_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Missile_Explode\SFX_Cauldron_Explode_04		169696
	265800130	SFX_Cabbage_Charge_Layer_C_LP	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Cabbage_Charge_Layer_C_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\AM_Boss_Charge\BLD_Boss_Charge_LP\SFX_Cabbage_Charge_Layer_C_LP		1488096
	267679322	SFX_Boss_Leaves_02	E:\Jet\Documents\Git\CookNRogue\CookNRogue_WwiseProject\.cache\Mac\SFX\SFX_Boss_Leaves_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Boss\AM_Boss\RC_Boss_Leaves\SFX_Boss_Leaves_02		416096
