Event	ID	Name			Wwise Object Path	Notes
	317530092	Play_SFX_Corn_Footsteps			\Default Work Unit\SFX_Enemy_Corn\Play_SFX_Corn_Footsteps	
	638584899	Play_SFX_Corn_Death			\Default Work Unit\SFX_Enemy_Corn\Play_SFX_Corn_Death	
	866431378	Play_SFX_Corn_Hit			\Default Work Unit\SFX_Enemy_Corn\Play_SFX_Corn_Hit	
	1485707806	Play_SFX_Corn_Attack_Shot			\Default Work Unit\SFX_Enemy_Corn\Play_SFX_Corn_Attack_Shot	
	3879041558	Play_SFX_Corn_Attack_Charge			\Default Work Unit\SFX_Enemy_Corn\Play_SFX_Corn_Attack_Charge	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	89513632	SFX_Corn_Movement_03	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Movement_03_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Footsteps\SFX_Corn_Movement_03		5010
	89582080	SFX_Corn_Attack_Charge_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Charge_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Charge\SFX_Corn_Attack_Charge_04		7519
	127155149	SFX_Corn_Hit_01	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Hit_01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Hit\SFX_Corn_Hit_01		2792
	221434807	SFX_Corn_Attack_Shot_V2_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Shot_V2_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Shot\SFX_Corn_Attack_Shot_V2_04		5142
	244025360	SFX_Corn_Death_03	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Death_03_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Death\SFX_Corn_Death_03		4893
	250258662	SFX_Corn_Attack_Shot_V2_05	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Shot_V2_05_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Shot\SFX_Corn_Attack_Shot_V2_05		5726
	284263818	SFX_Corn_Hit_03	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Hit_03_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Hit\SFX_Corn_Hit_03		2932
	285269462	SFX_Corn_Movement_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Movement_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Footsteps\SFX_Corn_Movement_02		4778
	371114761	SFX_Corn_Death_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Death_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Death\SFX_Corn_Death_02		5025
	426839673	SFX_Corn_Attack_Charge_03	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Charge_03_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Charge\SFX_Corn_Attack_Charge_03		7564
	451633883	SFX_Corn_Attack_Charge_05	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Charge_05_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Charge\SFX_Corn_Attack_Charge_05		7800
	562206014	SFX_Corn_Attack_Charge_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Charge_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Charge\SFX_Corn_Attack_Charge_02		7442
	574864690	SFX_Corn_Attack_Shot_V2_03	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Shot_V2_03_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Shot\SFX_Corn_Attack_Shot_V2_03		5251
	581437994	SFX_Corn_Movement_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Movement_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Footsteps\SFX_Corn_Movement_04		5873
	598810826	SFX_Corn_Attack_Shot_V2_01	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Shot_V2_01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Shot\SFX_Corn_Attack_Shot_V2_01		5210
	620371065	SFX_Corn_Movement_01	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Movement_01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Footsteps\SFX_Corn_Movement_01		5725
	729210195	SFX_Corn_Death_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Death_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Death\SFX_Corn_Death_04		5661
	770725611	SFX_Corn_Death_01	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Death_01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Death\SFX_Corn_Death_01		5384
	818181180	SFX_Corn_Hit_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Hit_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Hit\SFX_Corn_Hit_02		2540
	947055422	SFX_Corn_Attack_Charge_01	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Charge_01_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Charge\SFX_Corn_Attack_Charge_01		7528
	949516313	SFX_Corn_Hit_04	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Hit_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Hit\SFX_Corn_Hit_04		2850
	967853619	SFX_Corn_Attack_Shot_V2_02	D:\GitHub\CookNRogue\CookNRogue_WwiseProject\.cache\Windows\SFX\SFX_Corn_Attack_Shot_V2_02_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemies\AM_Enemies\AM_Corn\RC_Corn_Attack_Shot\SFX_Corn_Attack_Shot_V2_02		5164

